Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY,XNBA3P,YNBA3P,Xbar1,Ybar1,Xbar2,Ybar2,Xbar3,Ybar3,Xbar4,Ybar4,Xbar5,Ybar5,Xbar6,Ybar6,Xbar7,Ybar7,Xbar8,Ybar8,Xbar9,Ybar9,Xbar10,Ybar10,Xbar11,Ybar11,Xbar12,Ybar12,Xbar13,Ybar13,Xbar14,Ybar14,Xbar15,Ybar15
4.792553191,44,92.73404255,44,-1,56,98,56,19.0106383,56,77.9893617,56,-1,87.5,98,87.5,2.949468085,38.36,94.05053191,38.36,48.5,56,48.5,-10,-1,98,-1,91.5,-1.29,41.37696402,-0.42,42.06329834,0.45,42.91958212,1.32,43.12875067,2.18,41.68418034,3.05,43.80201196,3.92,42.66465794,4.79,43.39021136,5.66,42.63851187,6.53,41.67764382,7.39,41.37696402,-1.281237023,39.74179,1.863576471,39.74179,3.67501114,36.82478685,8.13123702,39.74179
4.792432887,44.02617861,92.73416286,44.02617861,19.0106383,56,77.9893617,56,19.12092265,55.99817234,77.87907735,55.99817234,3.34,87.5,93.66,87.5,2.949468085,49.64,94.05053191,49.64,48.38971564,55.99817234,48.5,-9.9,48.5,98,12.78700198,91.5,-0.54,41.37696402,0.33,42.06329834,1.2,42.91958212,2.07,43.12875067,2.94,41.68418034,3.8,43.80201196,4.67,42.66465794,5.54,43.39021136,6.41,42.63851187,7.28,41.67764382,8.14,41.37696402,-1.276212305,39.68809028,1.864315718,39.72573619,3.75716455,36.82807127,8.12621231,39.68809028
4.79207201,44.05234925,92.73512507,44.07850393,19.0106383,32,77.9893617,32,19.23117342,55.99268992,77.76882658,55.99268992,3.739780789,87.49337474,93.26021921,87.49337474,2.686170213,49.64,94.31382979,49.64,48.27946488,55.99268992,48.5,-9.8,48.5,-10,13.1134741,91.22189898,-0.54,40.22000045,0.33,40.22000045,1.2,40.22000045,2.07,40.22000045,2.94,40.22000045,3.8,40.22000045,4.67,40.22000045,5.54,40.22000045,6.41,40.22000045,7.28,40.22000045,8.14,40.22000045,-1.269754577,39.63445605,1.8652,39.65950253,3.83921777,36.83229237,8.11975458,39.63445605
4.79147067,44.07850393,92.73704834,44.13073361,19.0006383,32,77.9993617,32,19.341357,55.98355442,77.658643,55.98355442,4.139439801,87.47350098,92.8605602,87.47350098,2.686170213,49.63,94.31382979,49.63,48.1692813,55.98355442,48.5,-9.7,-1,-10,13.51382481,90.86488198,-1.29,40.22000045,-0.42,40.22000045,0.45,40.22000045,1.32,40.22000045,2.18,40.22000045,3.05,40.22000045,3.92,40.22000045,4.79,40.22000045,5.66,40.22000045,6.53,40.22000045,7.39,40.22000045,-1.261865806,39.58090366,1.864315718,39.59326886,3.92114578,36.83744888,8.11186581,39.58090366
4.79062905,44.10463471,92.7399303,44.18280402,18.9906383,32,78.0093617,32,19.45143984,55.9707686,77.54856016,55.9707686,4.538855296,87.44038476,92.4611447,87.44038476,2.686170213,49.62,94.31382979,49.62,48.05919845,55.9707686,48.5,-9.6,-1,-9.8,13.91107647,90.49358947,-1.29,41.37696402,-0.42,42.06329834,0.45,42.91958212,1.32,43.12875067,2.18,41.68418034,3.05,43.80201196,3.92,42.66465794,4.79,43.39021136,5.66,42.63851187,6.53,41.67764382,7.39,41.37696402,-1.252548397,39.52744943,1.861663142,39.52705538,4.00292364,36.84353922,8.1025484,39.52744943
4.789547408,44.13073361,92.74376745,44.2346517,18.9806383,32,78.0193617,32,19.56138842,55.95433638,77.43861158,55.95433638,4.937905607,87.39403619,92.06209439,87.39403619,2.686170213,49.61,94.31382979,49.61,47.94924988,55.95433638,48.5,-9.5,-1,-9.6,14.30510807,90.10813458,,,,,,,,,,,,,,,,,,,,,,,-1.241805185,39.47410962,1.857243079,39.46088224,4.08452643,36.85056154,8.09180519,39.47410962
4.788226072,44.15679269,92.74855512,44.28621349,18.9706383,32,78.0293617,32,19.67116923,55.93426274,77.32883077,55.93426274,5.336469182,87.33446937,91.66353082,87.33446937,2.686170213,49.6,94.31382979,49.6,47.83946907,55.93426274,48.5,-9.4,-1,-9.4,14.6957996,89.70863469,,,,,,,,,,,,,,,,,,,,,,,-1.229639445,39.42090049,1.851056876,39.39476959,4.16592929,36.8585137,8.07963945,39.42090049
4.786665444,44.18280402,92.75428748,44.33742658,18.9606383,32,78.0393617,32,19.78074883,55.91055382,77.21925117,55.91055382,5.734424612,87.26170245,91.26557539,87.26170245,2.686170213,49.59,94.31382979,49.59,47.72988947,55.91055382,48.5,-9.3,-1,-9.2,15.08303204,89.29521151,,,,,,,,,,,,,,,,,,,,,,,-1.216054882,39.36783826,1.843106417,39.32873759,4.24710744,36.86739327,8.06605488,39.36783826
4.784866001,44.20875965,92.76095753,44.38822857,18.9506383,32,78.0493617,32,19.89009385,55.88321682,77.10990615,55.88321682,6.131650678,87.1757576,90.86834932,87.1757576,2.686170213,49.58,94.31382979,49.58,47.62054445,55.88321682,48.5,-9.2,-1,-9,15.46668744,88.86799098,,,,,,,,,,,,,,,,,,,,,,,-1.201055634,39.31493907,1.833394125,39.26280635,4.32803614,36.87719755,8.05105563,39.31493907
4.78282829,44.2346517,92.76855715,44.43855756,18.9406383,32,78.0593617,32,19.99917098,55.85226009,77.00082902,55.85226009,6.528026379,87.07666099,90.47197362,87.07666099,2.686170213,49.57,94.31382979,49.57,47.51146732,55.85226009,48.5,-9.1,-1,-8.8,15.84664894,88.42710321,,,,,,,,,,,,,,,,,,,,,,,-1.18464627,39.26221905,1.821922956,39.19699594,4.40869074,36.88792356,8.03464627,39.26221905
4.780552933,44.26047227,92.77707708,44.48835223,18.9306383,32,78.0693617,32,20.107947,55.81769304,76.892053,55.81769304,6.923430977,86.96444282,90.07656902,86.96444282,2.686170213,49.56,94.31382979,49.56,47.4026913,55.81769304,48.5,-9,-1,-8.6,16.22280078,87.97268253,,,,,,,,,,,,,,,,,,,,,,,-1.166831789,39.20969426,1.808696407,39.13132642,4.48904668,36.89956803,8.01683179,39.20969426
4.778040621,44.28621349,92.78650695,44.53755192,18.9206383,32,78.0793617,32,20.21638876,55.7795262,76.78361124,55.7795262,7.317744027,86.83913726,89.68225597,86.83913726,2.686170213,49.55,94.31382979,49.55,47.29424954,55.7795262,48.5,-8.9,-1,-8.4,16.5950284,87.50486733,,,,,,,,,,,,,,,,,,,,,,,-1.147617616,39.15738068,1.793718505,39.06581778,4.56907947,36.91212741,7.99761762,39.15738068
4.775292121,44.31186754,92.79683526,44.58609669,18.9106383,32,78.0893617,32,20.32446324,55.73777121,76.67553676,55.73777121,7.710845418,86.70078248,89.28915458,86.70078248,2.686170213,49.54,94.31382979,49.54,47.18617506,55.73777121,48.5,-8.8,-1,-8.2,16.96321842,87.02380014,,,,,,,,,,,,,,,,,,,,,,,-1.127009604,39.10529427,1.776993814,39.00048998,4.64876473,36.92559787,7.9770096,39.10529427
4.772308269,44.33742658,92.80804943,44.63392739,18.9006383,32,78.0993617,32,20.43213751,55.69244078,76.56786249,55.69244078,8.102615407,86.54942063,88.89738459,86.54942063,2.686170213,49.53,94.31382979,49.53,47.07850078,55.69244078,48.5,-8.7,-1,-8,17.32725866,86.52962747,,,,,,,,,,,,,,,,,,,,,,,-1.105014032,39.05345088,1.758527427,38.93536293,4.72807821,36.93997531,7.95501403,39.05345088
4.769089975,44.36288284,92.8201358,44.68098575,18.8906383,32,78.1093617,32,20.53937879,55.64354872,76.46062121,55.64354872,8.492934657,86.38509782,88.50706534,86.38509782,2.686170213,49.52,94.31382979,49.52,46.97125951,55.64354872,48.5,-8.6,-1,-7.8,17.68703826,86.02249987,,,,,,,,,,,,,,,,,,,,,,,-1.081637599,39.00186631,1.73832497,38.87045646,4.80699572,36.95525536,7.9316376,39.00186631
4.765638219,44.38822857,92.83307965,44.72721443,18.8806383,32,78.1193617,32,20.64615439,55.59110992,76.35384561,55.59110992,8.881684273,86.20786409,88.11831573,86.20786409,2.686170213,49.51,94.31382979,49.51,46.86448391,55.59110992,48.5,-8.5,-1,-7.6,18.0424476,85.50257181,,,,,,,,,,,,,,,,,,,,,,,-1.056887425,38.95055627,1.716392596,38.80579034,4.88549324,36.97143335,7.90688743,38.95055627
4.761954052,44.41345603,92.84686519,44.77255711,18.8706383,32,78.1293617,32,20.7524318,55.53514035,76.2475682,55.53514035,9.268745839,86.01777344,87.73125416,86.01777344,2.686170213,49.5,94.31382979,49.5,46.7582065,55.53514035,48.5,-8.4,-1,-7.4,18.39337844,84.97000167,,,,,,,,,,,,,,,,,,,,,,,-1.030771051,38.89953639,1.692736987,38.74138426,4.96354686,36.98850437,7.88077105,38.89953639
4.758038597,44.43855756,92.86147564,44.81695855,18.8606383,32,78.1393617,32,20.85817864,55.47565707,76.14182136,55.47565707,9.654001451,85.81488377,87.34599855,85.81488377,2.686170213,49.49,94.31382979,49.49,46.65245965,55.47565707,48.5,-8.3,-1,-7.2,18.73972387,84.42495166,,,,,,,,,,,,,,,,,,,,,,,-1.00329643,38.84882221,1.667365347,38.67725786,5.04113279,37.0064632,7.85329643,38.84882221
4.753893046,44.46352549,92.8768932,44.86036465,18.8506383,32,78.1493617,32,20.96336271,55.4126782,76.03663729,55.4126782,10.03733376,85.59925688,86.96266624,85.59925688,2.686170213,49.48,94.31382979,49.48,46.54727559,55.4126782,48.5,-8.2,-1,-7,19.0813784,83.86758782,,,,,,,,,,,,,,,,,,,,,,,-0.974471933,38.79842918,1.640285407,38.61343065,5.11822741,37.02530438,7.82447193,38.79842918
4.749518662,44.48835223,92.89309908,44.90272253,18.8406383,32,78.1593617,32,21.06795195,55.34622291,75.93204805,55.34622291,10.41862599,85.37095846,86.58137401,85.37095846,2.686170213,49.47,94.31382979,49.47,46.44268634,55.34622291,48.5,-8.1,-1,-6.8,19.41823795,83.29807993,,,,,,,,,,,,,,,,,,,,,,,-0.94430634,38.74837264,1.611505413,38.54992209,5.19480723,37.04502217,7.79430634,38.74837264
4.744916778,44.51303021,92.91007354,44.94398059,18.8306383,32,78.1693617,32,21.17191452,55.27631145,75.82808548,55.27631145,10.79776201,85.13005804,86.20223799,85.13005804,2.686170213,49.46,94.31382979,49.46,46.33872378,55.27631145,48.5,-8,-1,-6.6,19.75019991,82.71660147,,,,,,,,,,,,,,,,,,,,,,,-0.912808838,38.69866786,1.581034134,38.48675152,5.27084893,37.06561057,7.76280884,38.69866786
4.740088794,44.53755192,92.92779589,44.98408854,18.8206383,32,78.1793617,32,21.27521874,55.20296512,75.72478126,55.20296512,11.17462632,84.876629,85.82537368,84.876629,2.686170213,49.45,94.31382979,49.45,46.23541955,55.20296512,48.5,-7.9,-1,-6.4,20.07716317,82.12332955,,,,,,,,,,,,,,,,,,,,,,,-0.879989024,38.64932996,1.54888085,38.42393818,5.34632934,37.0870633,7.72998902,38.64932996
