PlayerName,Region,FGM,FGA,FGPer,FGAPerZone,MakesAssisted
Lewis McDaniel,Left Wing 3s,1,2,50.00%,8.33%,0.00%
Lewis McDaniel,Above Break,3,9,33.33%,37.50%,33.33%
Lewis McDaniel,Right Wing 3s,0,0,NA,0.00%,NA
Lewis McDaniel,Rim,3,6,50.00%,25.00%,0.00%
Lewis McDaniel,Short MR,1,3,33.33%,12.50%,0.00%
Lewis McDaniel,Long MR,3,4,75.00%,16.67%,33.33%
Lewis McDaniel,NBA 3s,3,7,42.86%,29.17%,33.33%
Matthew Mayer,Left Wing 3s,2,3,66.67%,5.26%,50.00%
Matthew Mayer,Above Break,7,15,46.67%,26.32%,71.43%
Matthew Mayer,Right Wing 3s,0,1,0.00%,1.75%,NA
Matthew Mayer,Rim,7,17,41.18%,29.82%,42.86%
Matthew Mayer,Short MR,4,13,30.77%,22.81%,0.00%
Matthew Mayer,Long MR,4,8,50.00%,14.04%,50.00%
Matthew Mayer,NBA 3s,7,15,46.67%,26.32%,71.43%
Collin Cooper,Left Wing 3s,1,4,25.00%,25.00%,100.00%
Collin Cooper,Above Break,1,8,12.50%,50.00%,100.00%
Collin Cooper,Right Wing 3s,0,0,NA,0.00%,NA
Collin Cooper,Rim,0,1,0.00%,6.25%,NA
Collin Cooper,Short MR,0,1,0.00%,6.25%,NA
Collin Cooper,Long MR,0,2,0.00%,12.50%,NA
Collin Cooper,NBA 3s,2,8,25.00%,50.00%,100.00%
Jackson Moffatt,Left Wing 3s,0,0,NA,0.00%,NA
Jackson Moffatt,Above Break,0,4,0.00%,80.00%,NA
Jackson Moffatt,Right Wing 3s,0,1,0.00%,20.00%,NA
Jackson Moffatt,Rim,0,0,NA,0.00%,NA
Jackson Moffatt,Short MR,0,0,NA,0.00%,NA
Jackson Moffatt,Long MR,0,0,NA,0.00%,NA
Jackson Moffatt,NBA 3s,0,5,0.00%,100.00%,NA
Flo Thamba,Left Wing 3s,0,0,NA,0.00%,NA
Flo Thamba,Above Break,0,0,NA,0.00%,NA
Flo Thamba,Right Wing 3s,0,0,NA,0.00%,NA
Flo Thamba,Rim,10,14,71.43%,66.67%,70.00%
Flo Thamba,Short MR,1,7,14.29%,33.33%,100.00%
Flo Thamba,Long MR,0,0,NA,0.00%,NA
Flo Thamba,NBA 3s,0,0,NA,0.00%,NA
Obim Okeke,Left Wing 3s,0,1,0.00%,16.67%,NA
Obim Okeke,Above Break,0,4,0.00%,66.67%,NA
Obim Okeke,Right Wing 3s,0,0,NA,0.00%,NA
Obim Okeke,Rim,0,0,NA,0.00%,NA
Obim Okeke,Short MR,0,1,0.00%,16.67%,NA
Obim Okeke,Long MR,0,0,NA,0.00%,NA
Obim Okeke,NBA 3s,0,3,0.00%,50.00%,NA
SK Shittu,Left Wing 3s,0,0,NA,0.00%,NA
SK Shittu,Above Break,0,4,0.00%,22.22%,NA
SK Shittu,Right Wing 3s,0,0,NA,0.00%,NA
SK Shittu,Rim,3,7,42.86%,38.89%,33.33%
SK Shittu,Short MR,0,2,0.00%,11.11%,NA
SK Shittu,Long MR,2,5,40.00%,27.78%,100.00%
SK Shittu,NBA 3s,0,3,0.00%,16.67%,NA
Jared Butler,Left Wing 3s,8,19,42.11%,10.80%,100.00%
Jared Butler,Above Break,20,55,36.36%,31.25%,50.00%
Jared Butler,Right Wing 3s,10,20,50.00%,11.36%,80.00%
Jared Butler,Rim,28,48,58.33%,27.27%,14.29%
Jared Butler,Short MR,7,19,36.84%,10.80%,28.57%
Jared Butler,Long MR,6,15,40.00%,8.52%,16.67%
Jared Butler,NBA 3s,24,62,38.71%,35.23%,66.67%
MaCio Teague,Left Wing 3s,6,15,40.00%,9.93%,100.00%
MaCio Teague,Above Break,17,50,34.00%,33.11%,52.94%
MaCio Teague,Right Wing 3s,8,21,38.10%,13.91%,100.00%
MaCio Teague,Rim,18,35,51.43%,23.18%,50.00%
MaCio Teague,Short MR,5,13,38.46%,8.61%,20.00%
MaCio Teague,Long MR,10,17,58.82%,11.26%,30.00%
MaCio Teague,NBA 3s,11,44,25.00%,29.14%,72.73%
DeAndre Jones,Left Wing 3s,1,2,50.00%,8.33%,0.00%
DeAndre Jones,Above Break,2,10,20.00%,41.67%,50.00%
DeAndre Jones,Right Wing 3s,0,0,NA,0.00%,NA
DeAndre Jones,Rim,3,8,37.50%,33.33%,0.00%
DeAndre Jones,Short MR,0,0,NA,0.00%,NA
DeAndre Jones,Long MR,2,4,50.00%,16.67%,0.00%
DeAndre Jones,NBA 3s,0,6,0.00%,25.00%,NA
Eddy Kayouloud,Left Wing 3s,1,3,33.33%,4.05%,0.00%
Eddy Kayouloud,Above Break,2,11,18.18%,14.86%,50.00%
Eddy Kayouloud,Right Wing 3s,1,2,50.00%,2.70%,0.00%
Eddy Kayouloud,Rim,23,44,52.27%,59.46%,4.35%
Eddy Kayouloud,Short MR,2,8,25.00%,10.81%,100.00%
Eddy Kayouloud,Long MR,2,6,33.33%,8.11%,50.00%
Eddy Kayouloud,NBA 3s,3,11,27.27%,14.86%,0.00%
Tristan Clark,Left Wing 3s,0,0,NA,0.00%,NA
Tristan Clark,Above Break,0,2,0.00%,4.08%,NA
Tristan Clark,Right Wing 3s,0,0,NA,0.00%,NA
Tristan Clark,Rim,12,22,54.55%,44.90%,66.67%
Tristan Clark,Short MR,3,17,17.65%,34.69%,33.33%
Tristan Clark,Long MR,3,8,37.50%,16.33%,100.00%
Tristan Clark,NBA 3s,0,2,0.00%,4.08%,NA
Hayden Koval,Left Wing 3s,2,3,66.67%,7.69%,50.00%
Hayden Koval,Above Break,5,14,35.71%,35.90%,20.00%
Hayden Koval,Right Wing 3s,0,1,0.00%,2.56%,NA
Hayden Koval,Rim,5,7,71.43%,17.95%,20.00%
Hayden Koval,Short MR,2,3,66.67%,7.69%,50.00%
Hayden Koval,Long MR,2,11,18.18%,28.21%,0.00%
Hayden Koval,NBA 3s,3,11,27.27%,28.21%,0.00%
